Linux 6.6.9-amd64 (kali) 	10/14/2025 	_x86_64_	(2 CPU)

11:19:33 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:19:34 PM  1000      1456      0.99      0.00  nm-applet
11:19:34 PM  1000      1459      0.00      0.00  gvfs-udisks2-vo
11:19:34 PM  1000      1461      0.99      0.00  xcape
11:19:34 PM  1000      1464      0.99      0.00  light-locker
11:19:34 PM     0      1469      0.00      0.00  udisksd
11:19:34 PM  1000      1472      0.99      0.00  polkit-mate-aut
11:19:34 PM  1000      1478      0.00      0.00  agent
11:19:34 PM  1000      1488      0.00      0.00  xiccd
11:19:34 PM  1000      1502      0.99      0.00  blueman-applet
11:19:34 PM  1000      1518      0.00      0.00  dconf-service
11:19:34 PM   113      1523      0.00      0.00  colord
11:19:34 PM  1000      1542      0.00      0.00  gvfs-goa-volume
11:19:34 PM  1000      1566      0.00      0.00  gvfs-gphoto2-vo
11:19:34 PM  1000      1593      0.00      0.00  gvfs-mtp-volume
11:19:34 PM  1000      1625      0.00      0.00  gvfs-afc-volume
11:19:34 PM  1000      1657      0.00      0.00  gvfsd-trash
11:19:34 PM  1000      1670      0.00      0.00  gvfsd-metadata
11:19:34 PM  1000      1694      0.00      0.00  xdg-desktop-por
11:19:34 PM  1000      1700      0.00      0.00  xdg-document-po
11:19:34 PM  1000      1708      0.00      0.00  xdg-permission-
11:19:34 PM  1000      1715      0.00      0.00  fusermount3
11:19:34 PM  1000      1719      0.00      0.00  obexd
11:19:34 PM  1000      1722      0.99      0.00  xdg-desktop-por
11:19:34 PM  1000      3150     12.87      0.00  xfwm4
11:19:34 PM  1000      3246      1.98      0.00  xfce4-notifyd
11:19:34 PM  1000      3584      0.00      0.00  gvfsd-network
11:19:34 PM  1000      3602      0.00      0.00  gvfsd-dnssd
11:19:34 PM     0      3645      0.00      0.00  dbus-launch
11:19:34 PM     0      3646      0.00      0.00  dbus-daemon
11:19:34 PM     0      3657      0.00      0.00  xdg-desktop-por
11:19:34 PM     0      3663      0.00      0.00  xdg-document-po
11:19:34 PM     0      3668      0.00      0.00  xdg-permission-
11:19:34 PM     0      3675      0.00      0.00  fusermount3
11:19:34 PM     0      3680      0.99      0.00  xdg-desktop-por
11:19:34 PM     0      3689      0.00      0.00  gvfsd
11:19:34 PM     0      3695      0.00      0.00  gvfsd-fuse
11:19:34 PM     0      3723      0.00      0.00  gvfs-udisks2-vo
11:19:34 PM     0      3730      0.00      0.00  gvfs-goa-volume
11:19:34 PM     0      3736      0.00      0.00  gvfs-gphoto2-vo
11:19:34 PM     0      3742      0.00      0.00  gvfs-mtp-volume
11:19:34 PM     0      3748      0.00      0.00  gvfs-afc-volume
11:19:34 PM     0      3798      1.98      0.00  xfce4-notifyd
11:19:34 PM  1000      7189      1.98      1.98  qterminal
11:19:34 PM  1000      7192      0.00      0.00  zsh
11:19:34 PM     0      8718      1.98      0.00  kworker/u6:2-events_unbound
11:19:34 PM     0      8798      0.00      0.00  kworker/1:2H-kblockd
11:19:34 PM     0      9150      4.95      0.00  kworker/0:0-events
11:19:34 PM  1000      9763      2.97      0.00  qterminal
11:19:34 PM  1000      9766      0.00      0.00  zsh
11:19:34 PM  1000      9793      2.97      0.00  qterminal
11:19:34 PM  1000      9796      0.00      0.00  zsh
11:19:34 PM  1000      9813     26.73      0.99  qterminal
11:19:34 PM  1000      9816      0.99      7.92  zsh
11:19:34 PM  1000      9849      2.97      0.00  qterminal
11:19:34 PM  1000      9852      0.00      0.00  zsh
11:19:34 PM  1000     10053      0.00      0.00  sudo
11:19:34 PM  1000     10176      0.00      0.00  sudo
11:19:34 PM  1000     10219      0.00      0.00  sudo
11:19:34 PM  1000     10351      2.97      0.99  qterminal
11:19:34 PM  1000     10354      0.00      0.00  zsh
11:19:34 PM     0     10981      0.00      0.00  kworker/0:0H
11:19:34 PM     0     11303      0.00      0.00  kworker/u6:3-events_unbound
11:19:34 PM     0     11614      3.96      0.00  kworker/u5:1-events_unbound
